variant,eval_loops,loss,perplexity
alternating_reverse_parity,16,7.716396331787109,2244.8552731313484
alternating_reverse_parity,17,7.728324890136719,2271.7935079759195
alternating_reverse_parity,18,7.722334861755371,2258.2260756061564
alternating_reverse_parity,19,7.733705043792725,2284.0490448969945
alternating_reverse_parity,20,7.726948261260986,2268.6682430916394
alternating_reverse_parity,21,7.737967491149902,2293.805462047747
alternating_reverse_parity,22,7.7307281494140625,2277.2597826068386
alternating_reverse_parity,23,7.7415361404418945,2302.0058727779647
alternating_reverse_parity,24,7.734011173248291,2284.748366623624
alternating_reverse_parity,25,7.744720458984375,2309.3478761984443
alternating_reverse_parity,26,7.737035751342773,2291.669227550852
alternating_reverse_parity,27,7.747708797454834,2316.259311008471
alternating_reverse_parity,28,7.739957332611084,2298.3743153994096
alternating_reverse_parity,29,7.750628471374512,2323.0319149965635
alternating_reverse_parity,30,7.742866516113281,2305.0704434496315
alternating_reverse_parity,31,7.753558158874512,2329.84765167431
alternating_reverse_parity,32,7.745811462402344,2311.868757519677
